p1,p2,theta1,theta2,log_t1,log_t2
12,18,1.3768,1.50853,0.319764,0.411139
12,19,1.3768,1.27915,0.319764,0.246194
12,20,1.3768,1.08763,0.319764,0.0839986
13,0,1.15861,61.2697,0.147219,4.11528
13,1,1.15861,47.4684,0.147219,3.86006
13,2,1.15861,37.0308,0.147219,3.61175
13,3,1.15861,29.0859,0.147219,3.37025
13,4,1.15861,22.9987,0.147219,3.13544
13,5,1.15861,18.304,0.147219,2.90712
13,6,1.15861,14.6594,0.147219,2.68508
13,7,1.15861,11.8115,0.147219,2.46907
13,8,1.15861,9.57182,0.147219,2.25882
13,9,1.15861,7.79945,0.147219,2.05405
13,10,1.15861,6.38831,0.147219,1.85447
13,11,1.15861,5.25816,0.147219,1.65978
13,12,1.15861,4.34792,0.147219,1.4697
13,13,1.15861,3.61085,0.147219,1.28394
13,14,1.15861,3.01092,0.147219,1.10224
13,15,1.15861,2.52023,0.147219,0.924349
13,16,1.15861,2.11703,0.147219,0.750014
13,17,1.15861,1.78428,0.147219,0.579014
13,18,1.15861,1.50853,0.147219,0.411139
13,19,1.15861,1.27915,0.147219,0.246194
13,20,1.15861,1.08763,0.147219,0.0839986
14,0,0.977628,61.2697,-0.022626,4.11528
14,1,0.977628,47.4684,-0.022626,3.86006
14,2,0.977628,37.0308,-0.022626,3.61175
14,3,0.977628,29.0859,-0.022626,3.37025
14,4,0.977628,22.9987,-0.022626,3.13544
14,5,0.977628,18.304,-0.022626,2.90712
14,6,0.977628,14.6594,-0.022626,2.68508
14,7,0.977628,11.8115,-0.022626,2.46907
14,8,0.977628,9.57182,-0.022626,2.25882
14,9,0.977628,7.79945,-0.022626,2.05405
14,10,0.977628,6.38831,-0.022626,1.85447
14,11,0.977628,5.25816,-0.022626,1.65978
14,12,0.977628,4.34792,-0.022626,1.4697
14,13,0.977628,3.61085,-0.022626,1.28394
14,14,0.977628,3.01092,-0.022626,1.10224
14,15,0.977628,2.52023,-0.022626,0.924349
14,16,0.977628,2.11703,-0.022626,0.750014
14,17,0.977628,1.78428,-0.022626,0.579014
14,18,0.977628,1.50853,-0.022626,0.411139
14,19,0.977628,1.27915,-0.022626,0.246194
14,20,0.977628,1.08763,-0.022626,0.0839986
15,0,0.826942,61.2697,-0.190021,4.11528
15,1,0.826942,47.4684,-0.190021,3.86006
15,2,0.826942,37.0308,-0.190021,3.61175
15,3,0.826942,29.0859,-0.190021,3.37025
15,4,0.826942,22.9987,-0.190021,3.13544
15,5,0.826942,18.304,-0.190021,2.90712
15,6,0.826942,14.6594,-0.190021,2.68508
15,7,0.826942,11.8115,-0.190021,2.46907
15,8,0.826942,9.57182,-0.190021,2.25882
15,9,0.826942,7.79945,-0.190021,2.05405
15,10,0.826942,6.38831,-0.190021,1.85447
15,11,0.826942,5.25816,-0.190021,1.65978
15,12,0.826942,4.34792,-0.190021,1.4697
15,13,0.826942,3.61085,-0.190021,1.28394
15,14,0.826942,3.01092,-0.190021,1.10224
15,15,0.826942,2.52023,-0.190021,0.924349
15,16,0.826942,2.11703,-0.190021,0.750014
15,17,0.826942,1.78428,-0.190021,0.579014
15,18,0.826942,1.50853,-0.190021,0.411139
15,19,0.826942,1.27915,-0.190021,0.246194
15,20,0.826942,1.08763,-0.190021,0.0839986
16,0,0.70104,61.2697,-0.35519,4.11528
16,1,0.70104,47.4684,-0.35519,3.86006
16,2,0.70104,37.0308,-0.35519,3.61175
16,3,0.70104,29.0859,-0.35519,3.37025
16,4,0.70104,22.9987,-0.35519,3.13544
16,5,0.70104,18.304,-0.35519,2.90712
16,6,0.70104,14.6594,-0.35519,2.68508
16,7,0.70104,11.8115,-0.35519,2.46907
16,8,0.70104,9.57182,-0.35519,2.25882
16,9,0.70104,7.79945,-0.35519,2.05405
16,10,0.70104,6.38831,-0.35519,1.85447
16,11,0.70104,5.25816,-0.35519,1.65978
16,12,0.70104,4.34792,-0.35519,1.4697
16,13,0.70104,3.61085,-0.35519,1.28394
16,14,0.70104,3.01092,-0.35519,1.10224
16,15,0.70104,2.52023,-0.35519,0.924349
16,16,0.70104,2.11703,-0.35519,0.750014
16,17,0.70104,1.78428,-0.35519,0.579014
16,18,0.70104,1.50853,-0.35519,0.411139
16,19,0.70104,1.27915,-0.35519,0.246194
16,20,0.70104,1.08763,-0.35519,0.0839986
17,0,0.59551,61.2697,-0.518337,4.11528
17,1,0.59551,47.4684,-0.518337,3.86006
17,2,0.59551,37.0308,-0.518337,3.61175
17,3,0.59551,29.0859,-0.518337,3.37025
17,4,0.59551,22.9987,-0.518337,3.13544
17,5,0.59551,18.304,-0.518337,2.90712
17,6,0.59551,14.6594,-0.518337,2.68508
17,7,0.59551,11.8115,-0.518337,2.46907
17,8,0.59551,9.57182,-0.518337,2.25882
17,9,0.59551,7.79945,-0.518337,2.05405
17,10,0.59551,6.38831,-0.518337,1.85447
17,11,0.59551,5.25816,-0.518337,1.65978
17,12,0.59551,4.34792,-0.518337,1.4697
17,13,0.59551,3.61085,-0.518337,1.28394
17,14,0.59551,3.01092,-0.518337,1.10224
17,15,0.59551,2.52023,-0.518337,0.924349
17,16,0.59551,2.11703,-0.518337,0.750014
17,17,0.59551,1.78428,-0.518337,0.579014
17,18,0.59551,1.50853,-0.518337,0.411139
17,19,0.59551,1.27915,-0.518337,0.246194
17,20,0.59551,1.08763,-0.518337,0.0839986
18,0,0.506798,61.2697,-0.679642,4.11528
18,1,0.506798,47.4684,-0.679642,3.86006
18,2,0.506798,37.0308,-0.679642,3.61175
