mode,mult,TF_Recalc(10:20-80),TF_Recalc(5:20-80),TF_Recalc(10:50-50),TF_Recalc(5:50-50),DP_Calc,DP_Sim,TF_Static_Sim(20-80),TF_Static_Sim(50-50),OF_Static_Sim,Seed
Exp_Steep,0.7,253.471,252.13,247.936,248.878,280.619,279.843,380,380,244.002,15
Exp_Steep,0.8,293.591,295.936,289.146,291.31,319.28,319.357,420,420,279.344,15
Concave,0.6,74.6405,73.752,74.19,72.96,86.5724,85.884,320,320,72.05,15
Concave,0.7,73.5475,73.177,73.4935,73.618,83.4666,83.5625,380,380,72.11,15
Concave,0.8,80.5625,80.6435,80.5605,80.029,86.9679,87.4435,440,440,78.7185,15
Uniform,0.6,91.9995,92.638,91.8795,93.0245,98.5437,98.9835,320,320,91.273,16
Uniform,0.7,107.746,107.154,108.007,107.266,114.086,114.161,400,400,107.335,16
Uniform,0.8,107.001,105.956,107.428,105.976,112.102,111.335,420,420,104.838,16
Linear,0.6,114.433,115.578,112.882,111.973,132.145,131.205,320,320,106.31,16
Linear,0.7,139.193,141.63,131.274,131.792,154.847,154.133,380,380,122.128,16
Linear,0.8,125.855,127.344,121.252,120.943,142.784,142.18,420,420,113.533,16
Exp_Gentle,0.6,134.24,132.995,131.936,131.241,160.821,160.738,320,320,129.538,16
Exp_Gentle,0.7,157.09,158.689,150.361,148.191,175.67,176.372,380,380,138.861,16
Exp_Gentle,0.8,139.654,142.45,137.367,136.729,159.62,158.917,440,440,134.384,16
Exp_Steep,0.6,256.267,256.447,254.04,252.432,271.426,272.555,320,320,247.038,16
Exp_Steep,0.7,283.421,282.295,280.975,281.004,305.38,304.486,380,380,270.541,16
Exp_Steep,0.8,310.358,310.941,308.866,310.23,339.275,338.242,420,420,305.35,16
Concave,0.6,69.0895,69.12,69.6655,68.934,78.5943,77.949,320,320,67.63,16
Concave,0.7,69.0115,69.1805,69.383,69.1485,79.0972,79.6085,360,360,68.31,16
Concave,0.8,82.6345,83.5305,80.1295,80.8445,100.546,100.895,440,440,78.8985,16
Uniform,0.6,96.3335,96.031,96.6145,97.0015,102.933,102.665,320,320,94.29,17
Uniform,0.7,103.043,103.524,103.584,103.052,109.113,108.432,380,380,101.764,17
Uniform,0.8,106.562,107.45,106.983,107.149,112.443,112.969,440,440,105.12,17
Linear,0.6,107.855,107.618,107.57,106.721,118.617,118.273,320,320,100.608,17
Linear,0.7,116.46,115.012,115.424,114.281,134.252,134.467,380,380,113.19,17
Linear,0.8,116.618,115.659,114.843,114.002,124.956,124.77,420,420,110.229,17
Exp_Gentle,0.6,142.479,143.691,140.54,139.658,157.089,156.021,320,320,131.747,17
Exp_Gentle,0.7,151.846,153.361,145.353,143.854,167.003,165.642,400,400,133.51,17
Exp_Gentle,0.8,152.35,153.283,150.129,147.98,182.341,182.508,440,440,143.464,17
Exp_Steep,0.6,287.75,289.906,292.066,291.15,310.98,309.009,340,340,291.94,17
Exp_Steep,0.7,270.92,272.974,271.583,269.94,297.748,298.673,380,380,261.867,17
Exp_Steep,0.8,272.004,270.848,268.147,266.378,300.954,300.745,440,440,258.75,17
Concave,0.6,70.2005,70.753,70.115,70.1805,77.854,77.409,320,320,69.295,17
Concave,0.7,76.062,75.758,75.451,74.6975,81.721,81.475,380,380,74.33,17
Concave,0.8,79.03,78.714,77.4515,77.1585,93.5211,92.699,420,420,77.562,17
Uniform,0.6,90.949,91.3775,91.3225,91.527,97.5187,97.371,320,320,90.251,18
Uniform,0.7,96.139,96.0005,95.795,96.7855,102.339,103.035,380,380,95.784,18
Uniform,0.8,106.513,106.748,106.023,107.062,111.554,111.157,440,440,106.476,18
Linear,0.6,108.591,109.948,108.868,107.637,127.657,128.154,340,340,103.792,18
Linear,0.7,114.566,116.247,115.507,114.942,128.509,128.561,380,380,108.927,18
Linear,0.8,139.588,135.173,129.058,126.589,158.652,158.32,440,440,120.001,18
